"BehaviorSpace results (NetLogo 6.2.1)"
"Combined 4.1.nlogo"
"experiment"
"01/18/2022 16:27:47:328 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","Technology","Separation-at-home","nmbr-weeks-pickup-pmd","general-regionbin-size","number-of-households","nmbr-weeks-pickup-gen","pmd-regionbin-size","[step]","recycle-ratio"
"4","Basic","true","2","350","26","2","275","135","0.3863451259327397"
"2","Basic","true","2","250","26","2","275","127","0.32912673383756325"
"4","Basic","true","2","350","26","2","275","136","0.355418542484361"
"2","Basic","true","2","250","26","2","275","128","0.3353955118708612"
"4","Basic","true","2","350","26","2","275","137","0.355418542484361"
"2","Basic","true","2","250","26","2","275","129","0.3353955118708612"
"4","Basic","true","2","350","26","2","275","138","0.26383091818509985"
"3","Basic","true","2","300","26","2","275","96","0.32522805878853034"
"4","Basic","true","2","350","26","2","275","139","0.26383091818509985"
"3","Basic","true","2","300","26","2","275","97","0.32522805878853034"
"4","Basic","true","2","350","26","2","275","140","0.35025983069720135"
"3","Basic","true","2","300","26","2","275","98","0.3251511105078317"
"1","Basic","true","2","200","26","2","275","44","0.34165119643889924"
"4","Basic","true","2","350","26","2","275","141","0.35025983069720135"
"3","Basic","true","2","300","26","2","275","99","0.3251511105078317"
"4","Basic","true","2","350","26","2","275","142","0.35025983069720135"
"3","Basic","true","2","300","26","2","275","100","0.311078400137565"
"4","Basic","true","2","350","26","2","275","143","0.35025983069720135"
"3","Basic","true","2","300","26","2","275","101","0.311078400137565"
"4","Basic","true","2","350","26","2","275","144","0.27646451596994104"
"1","Basic","true","2","200","26","2","275","45","0.34165119643889924"
"3","Basic","true","2","300","26","2","275","102","0.3256164992274223"
"4","Basic","true","2","350","26","2","275","145","0.27646451596994104"
"3","Basic","true","2","300","26","2","275","103","0.3256164992274223"
"1","Basic","true","2","200","26","2","275","46","0.3380029251638491"
"4","Basic","true","2","350","26","2","275","146","0.2625599501152901"
"2","Basic","true","2","250","26","2","275","130","0.33236519666633274"
"3","Basic","true","2","300","26","2","275","104","0.2881228302246842"
"2","Basic","true","2","250","26","2","275","131","0.33236519666633274"
"4","Basic","true","2","350","26","2","275","147","0.2625599501152901"
"3","Basic","true","2","300","26","2","275","105","0.2881228302246842"
"2","Basic","true","2","250","26","2","275","132","0.33236519666633274"
"4","Basic","true","2","350","26","2","275","148","0.31869114480668825"
"1","Basic","true","2","200","26","2","275","47","0.3380029251638491"
"2","Basic","true","2","250","26","2","275","133","0.33236519666633274"
